"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group A","some college","standard","none","62","64","63"
"female","group E","some high school","standard","none","91","97","91"
"male","group C","associate's degree","free/reduced","completed","60","57","61"
"male","group E","high school","free/reduced","none","59","55","46"
"female","group D","associate's degree","standard","none","75","87","90"
"female","group C","master's degree","standard","completed","79","87","89"
"female","group C","associate's degree","free/reduced","completed","79","92","97"
"female","group A","high school","free/reduced","none","34","49","47"
"male","group D","some high school","free/reduced","none","49","49","43"
"female","group B","some college","standard","completed","47","58","56"
"male","group E","associate's degree","standard","none","78","73","65"
"male","group D","some high school","free/reduced","completed","46","53","54"
"male","group C","associate's degree","free/reduced","none","72","80","75"
"female","group D","associate's degree","free/reduced","none","45","61","57"
"female","group C","associate's degree","free/reduced","none","28","32","28"
"female","group D","some high school","standard","none","83","92","93"
"female","group E","some college","standard","completed","86","89","89"
"female","group D","some high school","free/reduced","completed","64","75","81"
"male","group B","high school","free/reduced","none","65","55","51"
"female","group B","some college","free/reduced","completed","69","85","84"
"female","group B","high school","standard","completed","66","62","66"
"female","group E","some college","free/reduced","none","41","60","55"
"male","group D","master's degree","free/reduced","completed","67","71","70"
"male","group C","bachelor's degree","free/reduced","completed","57","65","56"
"female","group C","associate's degree","free/reduced","completed","42","50","61"
"female","group D","high school","free/reduced","none","75","81","87"
"female","group C","associate's degree","standard","completed","77","90","97"
"male","group B","master's degree","free/reduced","none","65","65","62"
"female","group E","some high school","standard","completed","87","90","90"
"female","group D","high school","free/reduced","completed","72","76","78"
"female","group E","high school","standard","none","71","83","79"
"female","group C","some college","free/reduced","completed","60","80","76"
"female","group D","high school","free/reduced","completed","67","75","84"
"female","group C","high school","standard","none","54","73","64"
"male","group B","bachelor's degree","free/reduced","completed","48","59","55"
"male","group C","high school","standard","completed","67","63","67"
"male","group B","some high school","free/reduced","completed","58","56","53"
"female","group C","high school","standard","completed","80","83","86"
"female","group B","some college","standard","none","84","100","96"
"male","group C","some college","standard","completed","48","38","46"
"female","group B","some college","free/reduced","completed","55","67","68"
"female","group C","some high school","standard","completed","69","84","81"
"male","group C","high school","standard","none","74","72","62"
"female","group D","some high school","standard","none","62","68","65"
"male","group D","high school","standard","completed","76","75","77"
"male","group B","bachelor's degree","standard","none","84","81","72"
"male","group E","high school","standard","none","93","86","76"
"male","group E","associate's degree","standard","none","56","44","44"
"female","group B","some high school","standard","none","52","65","60"
"female","group C","some college","standard","completed","81","90","93"
"male","group E","high school","standard","completed","84","79","75"
"male","group D","some high school","standard","none","55","50","47"
"male","group C","high school","free/reduced","completed","54","53","51"
"male","group B","some high school","free/reduced","none","46","41","40"
"male","group D","high school","free/reduced","none","48","46","50"
"male","group C","some high school","standard","none","79","65","67"
"female","group E","high school","free/reduced","completed","66","66","75"
"male","group A","associate's degree","free/reduced","completed","56","60","63"
"female","group E","associate's degree","free/reduced","none","60","74","68"
"female","group B","associate's degree","standard","none","75","91","81"
"male","group A","some high school","standard","completed","79","65","65"
"male","group C","high school","free/reduced","completed","41","57","55"
"female","group C","associate's degree","free/reduced","none","35","40","45"
"female","group A","some college","free/reduced","none","54","56","58"
"male","group C","some high school","standard","none","67","65","62"
"female","group D","high school","standard","completed","85","98","99"
"female","group E","associate's degree","standard","none","92","100","99"
"male","group D","associate's degree","standard","completed","99","100","100"
"female","group C","some high school","free/reduced","completed","52","59","58"
"male","group C","associate's degree","free/reduced","none","73","66","68"
"female","group D","some high school","free/reduced","completed","62","75","79"
"male","group E","some high school","standard","none","75","71","68"
"female","group B","associate's degree","standard","none","90","94","93"
"male","group D","high school","free/reduced","none","54","49","48"
"male","group D","associate's degree","standard","none","81","74","74"
"male","group C","some high school","free/reduced","none","74","66","64"
"male","group B","associate's degree","free/reduced","completed","68","73","72"
"male","group D","some college","standard","none","74","74","70"
"male","group C","high school","free/reduced","none","51","57","44"
"female","group C","some high school","standard","none","68","77","75"
"male","group B","some college","standard","none","69","59","57"
"male","group E","some college","standard","completed","100","89","86"
"female","group C","some college","standard","none","53","59","59"
"male","group C","bachelor's degree","free/reduced","completed","72","70","70"
"male","group B","bachelor's degree","free/reduced","none","50","40","38"
"female","group A","high school","standard","none","61","69","69"
"male","group C","high school","standard","none","65","69","56"
"female","group D","high school","free/reduced","none","15","39","40"
"male","group C","some high school","free/reduced","none","64","56","52"
"male","group C","high school","standard","none","77","70","60"
"female","group D","some college","standard","completed","61","63","70"
"female","group B","high school","free/reduced","completed","49","66","60"
"male","group C","bachelor's degree","standard","none","70","49","53"
"male","group A","associate's degree","standard","none","60","56","57"
"female","group D","some college","standard","none","84","97","96"
"male","group D","high school","free/reduced","none","51","56","50"
"male","group C","bachelor's degree","standard","none","74","61","68"
"female","group B","bachelor's degree","standard","completed","64","77","79"
"female","group C","some college","standard","completed","67","74","81"
"male","group C","associate's degree","standard","none","76","61","62"
"male","group D","some high school","standard","completed","70","66","72"
"female","group C","some college","standard","none","85","92","84"
"female","group D","some high school","standard","none","53","55","57"
"male","group C","high school","standard","none","84","71","66"
"male","group B","some high school","standard","none","55","49","44"
"female","group C","high school","standard","none","50","62","63"
"male","group C","some high school","free/reduced","none","79","77","71"
"male","group C","associate's degree","standard","none","81","77","71"
"male","group D","associate's degree","standard","completed","89","75","80"
"male","group C","associate's degree","free/reduced","completed","59","68","66"
"male","group D","some college","standard","completed","82","79","81"
"male","group D","associate's degree","standard","none","86","84","82"
"female","group D","some college","free/reduced","none","41","58","60"
"female","group D","master's degree","standard","completed","64","67","72"
"male","group A","associate's degree","free/reduced","completed","68","71","64"
"male","group E","high school","free/reduced","completed","74","67","61"
"female","group C","some college","free/reduced","completed","44","44","53"
"female","group C","high school","free/reduced","completed","34","66","59"
"male","group B","some high school","standard","completed","45","50","48"
"female","group C","master's degree","standard","completed","83","86","90"
"male","group C","some college","standard","none","55","65","57"
"male","group E","high school","free/reduced","none","61","56","52"
"female","group B","high school","standard","completed","81","89","88"
"male","group B","associate's degree","free/reduced","none","45","52","45"
"male","group B","high school","standard","none","71","63","61"
"male","group C","bachelor's degree","standard","completed","62","67","68"
"female","group E","some college","standard","completed","78","83","76"
"male","group D","some college","standard","none","76","74","71"
"female","group A","associate's degree","standard","completed","73","68","81"
"female","group C","associate's degree","standard","none","82","91","85"
"male","group D","some college","standard","completed","69","58","60"
"male","group D","bachelor's degree","free/reduced","none","72","71","65"
"female","group B","high school","standard","completed","72","73","72"
"male","group B","associate's degree","free/reduced","none","57","59","62"
"male","group A","high school","standard","completed","83","71","69"
"male","group C","some high school","standard","none","68","76","72"
"female","group C","some high school","free/reduced","completed","62","74","71"
"male","group D","associate's degree","standard","none","99","97","95"
"male","group B","high school","standard","completed","88","87","85"
"female","group C","high school","standard","none","56","68","66"
"female","group B","associate's degree","standard","none","68","70","76"
"male","group C","high school","standard","completed","75","69","67"
"female","group C","some college","standard","none","45","46","47"
"male","group C","high school","free/reduced","none","72","68","62"
"male","group E","some college","standard","completed","99","98","93"
"male","group C","some college","free/reduced","none","76","72","65"
"female","group B","some high school","free/reduced","completed","64","72","79"
"female","group B","some college","standard","none","56","61","65"
"female","group E","some college","free/reduced","none","74","78","81"
"male","group D","bachelor's degree","standard","completed","97","91","96"
"female","group B","some college","standard","none","83","89","88"
"female","group B","bachelor's degree","standard","completed","55","64","63"
"female","group B","some college","standard","completed","77","90","93"
"female","group D","bachelor's degree","standard","none","78","80","79"
"female","group E","some high school","standard","completed","89","95","99"
"male","group A","high school","standard","none","78","72","66"
"male","group C","some college","free/reduced","none","33","42","41"
"female","group D","associate's degree","standard","none","66","72","74"
"male","group E","some college","standard","completed","87","87","79"
"female","group B","some college","standard","none","50","48","52"
"female","group A","high school","standard","none","79","86","84"
"male","group B","bachelor's degree","free/reduced","none","70","70","66"
"female","group B","some college","free/reduced","completed","47","61","64"
"female","group C","high school","standard","none","80","84","81"
"male","group E","some college","standard","completed","91","76","78"
"female","group D","high school","free/reduced","completed","78","86","88"
"male","group D","some college","free/reduced","completed","56","61","62"
"male","group C","some high school","standard","none","54","56","47"
"male","group A","associate's degree","standard","completed","79","65","69"
"male","group E","associate's degree","standard","completed","93","87","84"
"male","group D","some high school","standard","completed","74","78","78"
"female","group E","associate's degree","free/reduced","none","83","90","95"
"male","group C","high school","standard","none","90","78","78"
"female","group C","some college","free/reduced","completed","62","78","71"
"female","group D","bachelor's degree","standard","none","58","61","59"
"male","group E","some college","free/reduced","none","73","73","63"
"male","group C","some high school","standard","none","63","59","51"
"male","group D","associate's degree","standard","completed","89","83","81"
"male","group D","some college","standard","none","75","66","72"
"male","group C","some college","free/reduced","none","51","54","51"
"female","group C","some high school","free/reduced","completed","58","80","76"
"female","group C","bachelor's degree","standard","completed","92","88","94"
"female","group D","associate's degree","free/reduced","none","39","65","64"
"female","group B","associate's degree","standard","none","84","90","89"
"male","group C","some college","standard","completed","71","66","70"
"female","group E","high school","standard","none","85","86","88"
"female","group B","high school","free/reduced","none","59","74","68"
"male","group D","bachelor's degree","standard","none","71","67","64"
"male","group E","some high school","standard","none","74","60","59"
"male","group D","some college","free/reduced","none","62","58","56"
"female","group E","associate's degree","free/reduced","completed","83","86","91"
"male","group D","some college","standard","none","74","63","65"
"male","group B","some high school","free/reduced","completed","64","62","55"
"male","group C","some college","standard","none","79","76","69"
"female","group C","high school","free/reduced","none","24","48","46"
"male","group E","associate's degree","free/reduced","completed","66","60","64"
"female","group D","some high school","standard","completed","69","86","87"
"male","group C","some high school","standard","none","65","58","57"
"male","group E","some high school","standard","none","66","63","60"
"female","group E","high school","standard","none","54","56","56"
"male","group D","some high school","standard","none","59","48","48"
"male","group C","some college","free/reduced","none","60","67","61"
"female","group D","some college","standard","none","68","76","79"
"female","group A","high school","standard","none","61","69","66"
"female","group E","some college","free/reduced","none","84","88","82"
"female","group B","master's degree","standard","none","62","67","70"
"female","group A","some high school","standard","none","70","75","70"
"male","group B","high school","free/reduced","completed","76","81","72"
"female","group B","associate's degree","standard","completed","81","92","97"
"male","group B","master's degree","free/reduced","none","54","60","60"
"male","group D","high school","standard","none","67","65","59"
"male","group A","some high school","standard","completed","56","53","53"
"male","group D","bachelor's degree","free/reduced","none","63","59","51"
"male","group C","associate's degree","free/reduced","none","39","44","36"
"male","group C","master's degree","standard","none","93","78","77"
"female","group E","some high school","free/reduced","completed","65","72","76"
"male","group A","associate's degree","standard","none","83","83","70"
"male","group D","associate's degree","free/reduced","completed","75","78","77"
"male","group C","some college","free/reduced","none","71","74","73"
"female","group C","some college","standard","none","46","52","48"
"female","group D","bachelor's degree","standard","completed","60","74","72"
"male","group D","bachelor's degree","standard","none","55","35","43"
"male","group C","master's degree","standard","completed","79","72","74"
"male","group C","associate's degree","free/reduced","none","62","55","50"
"female","group C","high school","standard","completed","55","72","70"
"female","group B","some college","standard","none","58","64","56"
"male","group D","associate's degree","free/reduced","none","82","76","75"
"female","group B","high school","free/reduced","none","30","47","46"
"male","group C","some college","standard","none","80","79","74"
"male","group D","some college","standard","none","98","88","85"
"female","group A","some college","standard","none","83","91","92"
"female","group B","bachelor's degree","standard","none","81","84","86"
"female","group C","high school","free/reduced","completed","54","68","69"
"female","group D","associate's degree","standard","completed","82","95","100"
"female","group E","high school","free/reduced","none","62","70","64"
"female","group E","high school","free/reduced","completed","70","77","86"
"female","group C","some college","standard","none","77","85","85"
"male","group C","some college","standard","none","55","48","46"
"male","group D","high school","standard","completed","78","76","80"
"male","group A","associate's degree","free/reduced","completed","69","77","77"
"female","group B","some college","free/reduced","completed","58","62","64"
"female","group D","high school","free/reduced","completed","39","52","58"
"male","group D","some high school","standard","none","80","80","79"
"male","group B","some college","standard","none","76","70","67"
"female","group A","high school","standard","none","52","68","66"
"male","group B","master's degree","standard","none","88","78","84"
"male","group C","master's degree","free/reduced","none","82","69","76"
"male","group C","some college","free/reduced","none","62","65","61"
"female","group E","some high school","standard","completed","90","96","98"
"female","group A","associate's degree","free/reduced","none","41","49","51"
"male","group C","some college","free/reduced","completed","59","69","63"
"female","group B","some college","standard","none","61","69","73"
"male","group C","bachelor's degree","standard","none","68","56","57"
"female","group C","associate's degree","standard","none","60","75","72"
"female","group B","some high school","free/reduced","completed","37","48","46"
"male","group E","some college","free/reduced","none","67","67","62"
"female","group A","associate's degree","standard","none","73","76","74"
"male","group A","some college","free/reduced","completed","74","75","78"
"female","group C","some college","free/reduced","completed","67","89","89"
"female","group B","some college","free/reduced","none","37","51","51"
"female","group A","high school","standard","none","61","73","74"
"female","group C","some college","free/reduced","completed","64","81","87"
"female","group D","some college","standard","none","74","81","82"
"male","group C","high school","free/reduced","none","34","37","27"
"female","group D","high school","standard","none","54","62","62"
"female","group B","some college","standard","none","65","76","70"
"male","group D","some college","standard","none","81","86","78"
"male","group E","master's degree","standard","completed","88","89","87"
"male","group D","some high school","standard","none","82","70","67"
"female","group C","some high school","standard","none","70","75","78"
"male","group C","some high school","standard","completed","60","51","55"
"female","group C","master's degree","standard","none","70","81","75"
"female","group C","some high school","standard","none","67","72","71"
"female","group E","bachelor's degree","standard","completed","98","100","99"
"male","group D","some high school","free/reduced","completed","35","56","54"
"female","group C","associate's degree","standard","none","69","82","78"
"male","group D","high school","free/reduced","completed","38","38","41"
"male","group A","high school","free/reduced","none","70","74","65"
"female","group E","some high school","free/reduced","completed","42","59","59"
"female","group A","some high school","free/reduced","none","47","58","54"
"female","group B","bachelor's degree","free/reduced","completed","49","57","61"
"male","group E","some college","standard","completed","90","93","91"
"male","group D","associate's degree","free/reduced","none","49","54","50"
"male","group D","master's degree","free/reduced","none","83","86","87"
"male","group C","associate's degree","free/reduced","none","82","86","78"
"female","group C","associate's degree","standard","none","72","69","70"
"female","group D","associate's degree","standard","none","67","67","67"
"male","group B","master's degree","standard","none","92","89","83"
"female","group C","master's degree","standard","none","59","64","64"
"male","group D","bachelor's degree","standard","none","64","63","64"
"female","group C","some high school","standard","none","88","90","90"
"male","group D","some college","standard","none","92","77","84"
"male","group C","associate's degree","free/reduced","none","82","73","74"
"female","group C","some college","standard","none","59","72","70"
"male","group C","high school","free/reduced","none","45","43","47"
"male","group C","high school","free/reduced","none","56","67","62"
"male","group B","high school","standard","none","52","48","49"
"male","group D","associate's degree","standard","none","86","72","76"
"female","group D","some college","standard","completed","81","93","94"
"female","group B","associate's degree","free/reduced","none","61","64","63"
"male","group B","high school","standard","none","51","52","46"
"female","group D","bachelor's degree","free/reduced","none","69","85","83"
"male","group B","high school","standard","none","81","71","62"
"female","group D","bachelor's degree","free/reduced","none","73","85","83"
"female","group E","bachelor's degree","standard","completed","92","87","92"
"male","group E","associate's degree","standard","none","71","63","53"
"female","group C","high school","standard","none","61","57","55"
"male","group C","associate's degree","standard","none","80","76","74"
"male","group B","some high school","free/reduced","none","38","38","30"
"male","group B","some high school","standard","completed","72","62","62"
"female","group E","some college","standard","completed","96","98","100"
"female","group B","associate's degree","standard","completed","64","66","72"
"female","group B","some high school","standard","none","44","65","59"
"female","group D","some college","standard","completed","81","99","96"
"male","group B","high school","standard","completed","85","75","72"
"male","group E","associate's degree","standard","none","82","76","71"
"male","group B","associate's degree","standard","none","72","67","64"
"female","group C","master's degree","free/reduced","none","43","57","59"
"female","group B","some college","standard","none","58","69","63"
"male","group E","some college","free/reduced","completed","72","73","75"
"male","group D","some college","standard","completed","80","67","72"
"male","group D","high school","standard","none","81","62","61"
"male","group E","some high school","free/reduced","none","66","60","59"
"male","group B","associate's degree","standard","none","74","65","61"
"male","group D","master's degree","free/reduced","completed","75","70","76"
"male","group C","some college","standard","none","68","58","54"
"male","group D","some high school","free/reduced","none","67","63","63"
"male","group B","some college","standard","none","58","47","45"
"male","group D","some college","standard","none","79","56","68"
"male","group C","some high school","standard","none","63","63","63"
"female","group B","associate's degree","free/reduced","none","59","72","72"
"male","group C","bachelor's degree","free/reduced","none","47","53","42"
"male","group D","some college","free/reduced","completed","67","78","70"
"male","group A","some college","standard","completed","92","86","88"
"male","group D","associate's degree","standard","none","44","45","41"
"male","group C","master's degree","free/reduced","none","57","54","48"
"female","group D","bachelor's degree","standard","completed","83","100","100"
"female","group A","master's degree","standard","completed","68","76","76"
"male","group B","associate's degree","standard","none","59","52","45"
"female","group B","some high school","free/reduced","none","36","51","49"
"male","group A","some college","standard","completed","56","51","44"
"female","group E","high school","free/reduced","completed","80","94","97"
"male","group C","some college","free/reduced","completed","62","72","67"
"male","group D","some high school","standard","none","90","72","79"
"male","group A","associate's degree","standard","completed","55","62","58"
"female","group C","bachelor's degree","free/reduced","completed","44","45","52"
"male","group C","high school","standard","completed","72","63","66"
"female","group E","high school","standard","none","92","94","94"
"male","group B","high school","free/reduced","completed","73","68","71"
"female","group D","high school","standard","completed","75","74","75"
"male","group E","associate's degree","standard","completed","82","78","78"
"male","group C","some high school","standard","none","84","84","74"
"male","group C","master's degree","standard","none","81","80","73"
"male","group A","some college","standard","none","82","68","63"
"female","group C","master's degree","standard","completed","79","92","87"
"female","group C","high school","standard","none","31","49","42"
"male","group E","some high school","standard","none","73","62","59"
"female","group E","some college","standard","none","89","93","98"
"male","group E","bachelor's degree","standard","completed","100","100","100"
"female","group D","associate's degree","free/reduced","completed","47","58","56"
"male","group E","some high school","standard","none","94","75","75"
"male","group B","associate's degree","standard","completed","79","77","75"
"male","group C","high school","free/reduced","completed","77","80","74"
"male","group D","some college","standard","none","63","60","53"
"male","group A","high school","standard","none","56","45","38"
"female","group B","associate's degree","free/reduced","completed","58","67","70"
"male","group C","some college","standard","completed","77","80","85"
"female","group E","some college","standard","completed","82","85","91"
"female","group B","high school","free/reduced","none","51","69","64"
"male","group E","some high school","standard","none","92","80","78"
"female","group C","high school","standard","none","87","90","85"
"male","group E","associate's degree","standard","completed","88","78","86"
"female","group C","some college","standard","none","77","79","78"
"female","group E","some college","standard","none","62","65","65"
"male","group D","associate's degree","standard","none","61","56","56"
"female","group C","associate's degree","free/reduced","none","65","66","66"
"male","group E","master's degree","standard","completed","84","76","81"
"female","group D","some high school","free/reduced","none","30","59","51"
"male","group A","associate's degree","free/reduced","completed","63","61","64"
"female","group E","high school","standard","none","79","78","83"
"female","group C","some college","standard","none","51","72","63"
"female","group D","some college","standard","none","66","70","67"
"female","group D","associate's degree","standard","none","63","69","66"
"female","group D","associate's degree","free/reduced","none","71","78","81"
"female","group C","master's degree","standard","none","69","76","71"
"female","group C","some college","free/reduced","none","70","81","76"
"male","group D","some high school","standard","none","67","59","59"
"female","group C","some high school","standard","none","53","48","49"
"female","group B","bachelor's degree","free/reduced","none","50","62","62"
"female","group C","high school","standard","none","59","63","61"
"female","group C","high school","free/reduced","completed","54","72","68"
"male","group E","some college","standard","none","81","72","70"
"male","group C","high school","standard","none","69","58","52"
"male","group E","high school","standard","none","87","84","76"
"female","group B","bachelor's degree","standard","none","88","84","88"
"female","group E","bachelor's degree","standard","none","52","53","55"
"female","group C","some high school","standard","none","60","61","57"
"female","group D","some high school","standard","completed","77","83","84"
"male","group C","associate's degree","free/reduced","completed","47","49","49"
"male","group C","some college","standard","none","76","65","58"
"female","group B","some college","standard","completed","92","100","100"
"female","group E","some high school","standard","none","87","87","84"
"female","group D","high school","standard","none","74","82","81"
"male","group A","some high school","standard","completed","67","60","69"
"male","group B","some college","free/reduced","none","56","47","48"
"female","group D","associate's degree","standard","none","84","92","90"
"male","group B","associate's degree","standard","none","73","54","57"
"male","group D","master's degree","free/reduced","none","75","65","65"
"male","group D","high school","standard","completed","70","72","67"
"male","group C","high school","standard","none","79","72","72"
"male","group C","bachelor's degree","standard","completed","86","77","80"
"female","group B","high school","standard","completed","77","83","91"
"male","group D","high school","free/reduced","completed","58","67","67"
"male","group C","some college","free/reduced","completed","70","66","68"
"female","group D","master's degree","standard","none","69","67","78"
"male","group D","some college","standard","completed","94","97","95"
"female","group E","some college","free/reduced","none","76","82","81"
"female","group C","high school","standard","none","71","72","69"
"male","group C","associate's degree","standard","none","76","72","73"
"male","group D","bachelor's degree","free/reduced","none","85","78","81"
"male","group C","some high school","standard","none","94","84","80"
"male","group E","master's degree","standard","none","91","82","74"
"male","group D","associate's degree","standard","completed","100","100","98"
"male","group B","high school","standard","none","65","66","61"
"female","group D","bachelor's degree","free/reduced","none","68","79","78"
"male","group C","high school","free/reduced","none","59","60","56"
"female","group B","bachelor's degree","standard","none","73","87","89"
"male","group B","some college","free/reduced","completed","76","83","78"
"female","group C","some high school","standard","none","86","92","83"
"female","group C","associate's degree","standard","completed","75","74","80"
"male","group D","some high school","standard","none","68","53","53"
"female","group D","high school","free/reduced","none","68","73","71"
"male","group D","some college","standard","none","59","62","52"
"male","group B","bachelor's degree","standard","none","84","80","77"
"male","group D","some college","free/reduced","none","67","58","58"
"male","group C","associate's degree","free/reduced","none","59","64","60"
"male","group C","bachelor's degree","free/reduced","none","58","66","67"
"male","group D","associate's degree","standard","none","72","62","60"
"female","group A","associate's degree","standard","none","61","65","59"
"female","group B","some high school","free/reduced","none","55","70","60"
"female","group D","bachelor's degree","standard","none","41","51","53"
"female","group D","some college","free/reduced","none","36","45","44"
"male","group E","associate's degree","standard","completed","84","75","75"
"male","group E","associate's degree","free/reduced","none","57","45","42"
"female","group C","associate's degree","standard","none","81","96","93"
"male","group A","some high school","standard","none","59","60","50"
"male","group D","some college","free/reduced","none","66","56","56"
"male","group C","some college","free/reduced","completed","65","62","63"
"female","group C","associate's degree","standard","none","65","85","80"
"female","group A","some high school","free/reduced","completed","53","77","75"
"male","group B","some high school","standard","none","79","69","70"
"female","group C","associate's degree","standard","completed","89","86","92"
"female","group E","high school","free/reduced","none","85","91","88"
"female","group C","some college","standard","none","79","93","81"
"female","group B","associate's degree","standard","completed","83","96","96"
"female","group E","some high school","free/reduced","none","62","71","61"
"female","group E","some college","standard","none","64","68","60"
"female","group E","bachelor's degree","standard","none","66","65","76"
"female","group B","some high school","free/reduced","none","36","52","51"
"female","group C","some high school","standard","none","74","77","72"
"female","group B","bachelor's degree","standard","completed","85","96","95"
"female","group C","high school","standard","completed","44","69","68"
"female","group E","some college","standard","completed","68","78","77"
"female","group C","some college","standard","completed","59","66","71"
"male","group B","high school","standard","none","64","57","52"
"female","group C","some college","free/reduced","none","62","74","74"
"male","group C","master's degree","free/reduced","none","45","53","45"
"male","group D","high school","standard","none","85","81","83"
"male","group C","some high school","standard","none","45","48","46"
"male","group B","associate's degree","standard","none","81","66","58"
"male","group C","high school","standard","none","65","70","57"
"female","group C","high school","free/reduced","none","48","60","55"
"female","group C","high school","standard","none","59","66","69"
"female","group C","some college","standard","completed","80","88","90"
"female","group A","bachelor's degree","standard","completed","66","80","75"
"female","group B","bachelor's degree","standard","completed","80","93","99"
"male","group E","some high school","free/reduced","none","47","54","48"
"female","group B","high school","standard","none","74","90","83"
"male","group B","bachelor's degree","free/reduced","none","55","59","49"
"male","group D","associate's degree","standard","none","100","93","89"
"male","group C","some high school","standard","none","83","84","78"
"male","group C","associate's degree","standard","none","76","74","67"
"male","group E","some high school","standard","completed","87","83","80"
"male","group C","some high school","standard","none","28","27","23"
"male","group D","some high school","standard","completed","76","78","79"
"female","group E","bachelor's degree","standard","none","86","87","90"
"female","group A","bachelor's degree","free/reduced","none","65","64","73"
"male","group D","master's degree","standard","none","88","72","78"
"female","group D","master's degree","standard","completed","87","95","100"
"male","group D","some high school","standard","none","51","53","45"
"male","group D","associate's degree","standard","completed","67","62","67"
"female","group C","some high school","standard","none","70","77","76"
"female","group A","associate's degree","standard","none","72","77","77"
"male","group A","associate's degree","free/reduced","completed","75","67","67"
"male","group D","some high school","standard","none","83","74","80"
"female","group B","associate's degree","standard","none","82","97","90"
"male","group C","some college","standard","none","77","77","71"
"male","group C","some college","standard","none","80","66","66"
"female","group A","high school","standard","completed","67","86","86"
"male","group E","high school","standard","none","80","72","62"
"male","group D","high school","standard","none","58","47","45"
